同業比較-IC設計-營收分析-迅杰(6243)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="愛普*(6531)",="台幣",="2024/10",1622.12,445.18,16.63,6.73,33.99,-1.18,42.16,50.96
="晶心科(6533)",="台幣",="2024/10",506.50,153.20,74.24,-34.32,10.73,45.10,10.58,9.32
="宏觀(6568)",="台幣",="2024/10",306.12,84.03,32.35,-7.18,8.74,1.92,9.96,13.03
="M31(6643)",="台幣",="2024/10",418.05,69.37,-55.21,-51.03,12.23,-2.04,16.12,13.60
="鈺太(6679)",="台幣",="2024/10",549.75,177.89,-4.34,3.99,17.76,18.99,18.40,21.46
="安格(6684)",="台幣",="2024/10",446.25,33.39,-14.93,1.00,3.17,17.16,3.58,4.15
="廣閎科(6693)",="台幣",="2024/10",457.20,92.56,22.46,-2.15,8.67,7.21,9.60,13.35
="芯鼎(6695)",="台幣",="2024/10",863.18,93.40,3.58,-0.12,8.03,-13.14,11.01,10.93
="天擎(6708)",="台幣",="2024/10",290.09,16.40,-26.27,-9.21,1.65,-1.31,1.95,3.14
="應廣(6716)",="台幣",="2024/10",304.19,78.81,-18.99,-29.52,10.52,29.06,10.58,9.39
="力智(6719)",="台幣",="2024/10",828.91,331.52,32.68,-1.73,30.94,24.69,30.37,60.85
="久昌(6720)",="台幣",="N/A",="--",="--",="--",="--",="--",="--",="--",="--"
="昇佳電子(6732)",="台幣",="2024/10",489.13,428.07,-5.13,-0.76,41.44,13.74,45.43,40.26
="威鋒電子(6756)",="台幣",="2024/10",695.74,119.52,-29.49,-15.43,14.53,-14.18,20.35,29.55
="來頡(6799)",="台幣",="2024/10",427.01,78.36,-15.64,6.90,7.64,-10.24,10.23,11.80
="矽創(8016)",="台幣",="2024/10",1201.36,1527.52,0.38,-3.89,147.37,7.31,167.23,180.28
="佑華(8024)",="台幣",="2024/10",451.60,11.64,-5.14,-31.00,1.89,-5.76,2.39,4.46
="九暘(8040)",="台幣",="2024/10",964.14,55.99,-5.51,-3.19,5.29,-10.80,7.18,13.03
="安國(8054)",="台幣",="2024/10",977.73,158.78,8.36,7.70,16.58,13.88,19.90,16.06
="致新(8081)",="台幣",="2024/10",861.72,682.47,1.59,-5.97,69.58,2.71,79.11,84.20
="巨有科技(8227)",="台幣",="2024/10",395.43,69.28,-23.12,37.76,5.51,-33.05,11.05,9.34
="群聯(8299)",="台幣",="2024/10",2047.82,3717.03,-27.95,-16.11,500.80,33.08,482.22,602.56
